NOTE  |BabyLoon Attack Trophy Pushing
NOTE  |Author: Cat - Ver. 1.0 - Dec 29 2016
NOTE  |Suggested Troops: 16 Baby Dragons 16 Baloons 3 Rage 2 Jump 1 Haste
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|,
SIDE  |0          |0          |0          |0          |0          |0          |0          |EAGLE      |,
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|,
MAKE  |A          |FRONT-LEFT |10         |12         |INT-EXT    |0          |5          |           |,
MAKE  |B          |FRONT-RIGHT|10         |12         |EXT-INT    |0          |5          |           |,

MAKE  |G          |FRONT-LEFT |10         |-2         |INT-EXT    |0          |0          |           |,

MAKE  |C          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |5          |           |,
MAKE  |D          |FRONT-RIGHT|10         |-7         |EXT-INT    |0          |5          |           |,


MAKE  |S          |FRONT-LEFT |10         |-4         |INT-EXT    |0          |0          |           |,
MAKE  |E          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |,

MAKE  |F          |FRONT-LEFT |10         |-12        |INT-EXT    |0          |0          |           |,

MAKE  |H          |FRONT-LEFT |10         |-12        |INT-EXT    |0          |0          |           |,
MAKE  |I          |FRONT-RIGHT|10         |-13        |EXT-INT    |0          |0          |           |,


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|           |,
DROP  |B          |7-10       |7          |BabyD      |100        |0          |0          |           |,
DROP  |A          |1-5        |7          |BabyD      |100        |0          |0          |           |,
DROP  |A          |10         |1          |BabyD      |100        |0          |0          |           |,
DROP  |B          |1          |1          |BabyD      |100        |0          |0          |           |,
DROP  |A          |1          |5          |BabyD      |100        |0          |0          |           |,


WAIT  |130-133    |           |           |           |           |           |           |           |,

DROP  |A          |1          |1          |Warden     |0          |0          |66-133     |           |,

DROP  |B          |6-9        |5          |Ball       |100        |0          |166-200    |           |,
DROP  |A          |2-5        |5          |Ball       |100        |0          |166-200    |           |,
DROP  |A          |1          |10         |Ball       |100        |0          |166-200    |           |,

WAIT  |500-501    |           |           |           |           |           |           |           |,

DROP  |C          |2          |1          |RSpell     |0          |0          |0          |           |,
DROP  |D          |8          |1          |RSpell     |0          |0          |0          |           |,

WAIT  |6500-6501  |           |           |           |           |           |           |           |,

DROP  |A          |1          |1          |Warden     |0          |0          |66-133     |           |,

WAIT  |500-501    |           |           |           |           |           |           |           |,

DROP  |H          |5          |1          |HaSpell    |0          |0          |0          |           |,
DROP  |H          |1          |1          |HaSpell    |0          |0          |0          |           |,
DROP  |I          |6          |1          |HaSpell    |0          |0          |0          |           |,

WAIT  |11000-11001|           |           |           |           |           |           |           |,
WAIT  |11000-11001|           |           |           |           |           |           |           |,
WAIT  |11000-11001|           |           |           |           |           |           |           |,


DROP  |S          |1          |1          |Jspell     |16         |0          |266-400    |           |,
DROP  |E          |1          |2          |Jspell     |16         |0          |266-400    |           |,

DROP  |G          |1          |1          |HaSpell    |0          |0          |0          |           |,

DROP  |A          |1          |1          |castle     |0          |0          |33-100     |           |,
DROP  |A          |1          |1          |Queen      |0          |0          |0          |           |,
DROP  |A          |1          |1          |King       |0          |0          |0          |           |,
DROP  |A          |1          |1          |BabyD      |0          |0          |33-100     |           |,

WAIT  |500-501    |           |           |           |           |           |           |           |,

DROP  |F          |1          |1          |RSpell     |0          |0          |0          |           |,
