NOTE  |Author: Z E C K GiWiHe v5.0
NOTE  |TH 7-8 Train: 20 Giants 19 Wizards 1 Healer 5 WallB, Spells: 2 Rage 1 Heal
NOTE  |TH - 8 Train: 20 Giants 19 Wizards 1 Healer 5 WallB, Spells: 1 Heal 1 Rage 3 Eartquake +1 in CC 
NOTE  |TH - 9 Train: 20 Giants 24 Wizards 1 Healer 5 WallB, Spells: 2 Rage 1 Heal 3 Eartquake +1 in CC
NOTE  |TH 10-11 Train: 20 Giants 25 Wizards 2 Healer 6 WallB, Spells: 2 Rage 2 Heal 3 Eartquake +1 in CC

	  |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|  
MAKE  |A          |FRONT-LEFT |10         |1          |EXT-INT    |0          |5          |           |
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |5          |           |
MAKE  |C          |FRONT-LEFT |10         |-12        |INT-EXT    |0          |5          |           |
MAKE  |D          |FRONT-LEFT |10         |-9         |INT-EXT    |0          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |-13        |INT-EXT    |0          |5          |           |
MAKE  |F          |FRONT-RIGHT|10         |-15        |INT-EXT    |0          |5          |           |
MAKE  |G          |FRONT-LEFT |10         |-17        |INT-EXT    |0          |5          |           |


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |C          |1          |3          |Espell     |120-130    |0          |1000-1200  |           |
RECALC|           |           |           |           |           |           |           |           |
DROP  |C          |1          |1          |Espell     |0          |0          |2000-3000  |           |
DROP  |A          |5-10       |4          |Giant      |120-130    |0          |0          |           |
DROP  |B          |1-6        |4          |Giant      |120-130    |0          |600-800    |           |
DROP  |A          |5-10       |5          |Wiza       |120-130    |0          |0          |           |
DROP  |B          |1-6        |5          |Wiza       |120-130    |0          |600-800    |           |
DROP  |A          |10         |6          |Wall       |115-125    |0          |2000-2500  |           |
DROP  |A          |10         |13         |Giant      |115-125    |0          |1500-2000  |           |
DROP  |A          |9          |2          |Heal       |0          |0          |600-800    |           |
DROP  |A          |10         |1          |Castle     |0          |0          |600-800    |           |
DROP  |A          |10         |16         |Wiza       |115-125    |0          |1000-1200  |           |
DROP  |D          |1          |1          |RSpell     |0          |0          |600-800    |           |
DROP  |A          |9          |1          |Queen      |0          |0          |600-800    |           |
DROP  |A          |9          |1          |Warden     |0          |0          |600-800    |           |
DROP  |A          |10         |1          |King       |0          |0          |2500-3000  |           |
DROP  |E          |1          |1          |HSpell     |0          |0          |2500-3000  |           |
DROP  |F          |2          |1          |RSpell     |0          |0          |3000-3500  |           |
DROP  |G          |1          |1          |HSpell     |0          |0          |0          |           |

   |-----------------------------------------------------------------------------------------------|
   |        UnIvErSaL VeRsIoN GiWiHe 5.0 CrEaTeD FoR ALL TOwn haLL by Z E C K     05.09.2017  00:04|
