NOTE  |Author: NavySeals - Ver. 2.1,Column 2 , ProMac
NOTE  |Immortal Bowler Attack ,TH11
NOTE  |Make Troops: 22-28Bowlers," 4-6healers, 4-12Giants(opt), 2-JSpells (opt), 1PSpell (Opt), 6-12WBs, 3Rage & 4EQ"
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|,
SIDE  |0          |0          |0          |0          |0          |0          |10         |EAGLE      |,
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|,
MAKE  |N          |FRONT-LEFT |10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |A          |FRONT-RIGHT|10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |V          |FRONT-LEFT |10         |12         |INT-EXT    |2          |1          |           |,
MAKE  |Y          |FRONT-RIGHT|10         |12         |INT-EXT    |1          |2          |           |,
MAKE  |F          |FRONT-LEFT |10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |G          |FRONT-RIGHT|10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |I          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |0          |           |,
MAKE  |J          |FRONT-LEFT |10         |-12        |INT-EXT    |0          |0          |           |,
MAKE  |S          |FRONT-LEFT |10         |-4         |INT-EXT    |0          |0          |           |,
MAKE  |E          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |,
MAKE  |K          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |,
MAKE  |L          |FRONT-LEFT |10         |-17        |INT-EXT    |0          |0          |           |,
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|           |,
DROP  |K          |1          |3          |Espell     |1000-1500  |0          |100-150    |           |,
RECALC|           |           |           |           |           |           |           |           |,
DROP  |K          |1          |1          |Espell     |1000-1500  |0          |100-150    |           |,
DROP  |S          |1          |1          |Jspell     |50         |0          |500-600    |           |,
DROP  |E          |1          |1          |Jspell     |50         |0          |500-600    |           |,
DROP  |N          |1          |1          |castle     |0          |0          |100-300    |           |,
DROP  |N          |1-2        |14         |Giant      |150        |0          |500-600    |           |,
DROP  |N          |7-9        |4          |Bowl       |50         |0          |1000-1500  |           |,
WAIT  |2000-3000  |           |           |           |           |           |           |           |,
DROP  |F-G        |1          |6          |Wall       |150        |0          |0          |           |,
DROP  |V          |7-9        |2          |Heal       |100        |0          |50-100     |           |,
DROP  |A          |7-9        |4          |Bowl       |50         |0          |1000-1500  |           |,
DROP  |Y          |7-9        |2          |Heal       |100        |0          |50-100     |           |,
DROP  |N-A        |1-5        |10         |Bowl       |50         |0          |10-20      |           |,
DROP  |N-A        |1-5        |18         |Bowl       |50         |0          |50-100     |           |,
DROP  |N          |1          |1          |King       |20         |0          |0          |           |,
DROP  |I          |3          |1          |RSpell     |0          |0          |100-200    |           |,
DROP  |F-G        |2          |8          |Wall       |20         |0          |0          |           |,
DROP  |N          |1          |1          |Queen      |20         |0          |0          |           |,
DROP  |V-Y        |1-6        |4          |Heal       |100        |0          |50-100     |           |,
DROP  |V-Y        |1-6        |8          |Heal       |100        |0          |50-100     |           |,
DROP  |N          |1          |1          |Warden     |20         |0          |200-400    |           |,
DROP  |J          |2          |1          |RSpell     |0          |0          |3000-5000  |           |,
WAIT  |2000-4000  |           |           |           |           |           |           |           |,
DROP  |K          |1          |1          |PSpell     |0          |0          |200-300    |           |,
DROP  |N          |1          |1          |Warden     |0          |0          |0          |           |,
WAIT  |4000-6000  |           |           |           |           |           |           |           |,
DROP  |L          |2          |1          |RSpell     |0          |0          |0          |           |,
WAIT  |4000-5500  |           |           |           |           |           |           |           |,
DROP  |N-A        |1-8        |40         |arch       |50         |0          |10-20      |           |,
DROP  |L          |1          |1          |HaSpell    |0          |0          |0          |           |drop freeze spell
DROP  |A          |1-10       |10         |Remain     |0          |0          |100-500    |           |Drop Remain Troops 
DROP  |B          |1-10       |10         |Remain     |0          |0          |100-500    |           |Drop Remain Troops 
