NOTE  |Author: Z E C K v1.8 [17.09.2017]       
NOTE  |                    TH - 9
NOTE  |Train: 2 Lava, 26 Ballons, 10 Minions, 5 WallB, 3 Rage, 3 Haste + 1 Haste and Baloons in CC 
NOTE  |★★★★★★★★★★★★★★★★★★★★★★  
NOTE  |                    TH 10-11
NOTE  |Train: 2 Lava, 28 Ballons, 15 Minions, 5 WallB, 3 Rage, 5 Haste + 2 Haste Or 1 Rage and Baloons in CC
NOTE  |    Script work on "EXTERNAL EDGES"

	  |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |15         |5          |0          |0          |0          |0          |0          |0          |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|
MAKE  |A          |FRONT-LEFT |10         |0          |EXT-INT    |0          |5          |           |
MAKE  |B          |FRONT-RIGHT|10         |0          |INT-EXT    |0          |5          |           |
MAKE  |Z          |FRONT-RIGHT|10         |0          |EXT-INT    |0          |5          |           |
MAKE  |K          |FRONT-LEFT |10         |0          |INT-EXT    |0          |5          |           |
MAKE  |C          |FRONT-LEFT |10         |-9         |INT-EXT    |0          |5          |           |
MAKE  |Q          |FRONT-LEFT |10         |-8         |INT-EXT    |0          |5          |           |
MAKE  |D          |FRONT-RIGHT|10         |-9         |INT-EXT    |0          |5          |           |
MAKE  |L          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |-16        |INT-EXT    |0          |5          |           |
MAKE  |F          |FRONT-RIGHT|10         |-17        |INT-EXT    |0          |5          |           |
MAKE  |G          |FRONT-LEFT |10         |-22        |INT-EXT    |0          |5          |           |
MAKE  |H          |FRONT-RIGHT|10         |-23        |INT-EXT    |0          |5          |           |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |A-B        |4          |1          |Lava       |30-50      |30-70      |500-700    |           |
DROP  |A          |10         |1          |Castle     |0          |0          |400-500    |           |
DROP  |A          |4-10       |7          |Ball       |30-50      |50-80      |40         |           |
DROP  |B          |1-7        |7          |Ball       |30-50      |50-80      |40         |           |
DROP  |Z          |4-10       |7          |Ball       |30-50      |50-80      |40         |           |
DROP  |K          |1-7        |7          |Ball       |30-50      |50-80      |500-700    |           |
DROP  |A          |10         |1          |Warden     |0          |0          |500-700    |           |
DROP  |C          |5          |1          |HaSpell    |0          |0          |500-700    |           |
DROP  |Q          |2          |1          |HaSpell    |0          |0          |500-700    |           |
DROP  |D          |1          |1          |HaSpell    |0          |0          |500-700    |           |
RECALC|           |           |           |           |           |           |           |           |
DROP  |L          |4          |1          |HaSpell    |0          |0          |2000-2500  |           |
DROP  |A          |10         |1          |Warden     |0          |0          |300-500    |           |
DROP  |E          |4          |1          |RSpell     |0          |0          |500-700    |           |
DROP  |E          |1          |1          |RSpell     |0          |0          |500-700    |           |
DROP  |F          |4          |1          |RSpell     |0          |0          |6000-6200  |           |
DROP  |H          |4          |1          |HaSpell    |0          |0          |500-700    |           |
RECALC|           |           |           |           |           |           |           |           |
DROP  |G          |3          |1          |HaSpell    |0          |0          |0          |           |
DROP  |G          |1          |1          |HaSpell    |0          |0          |500-700    |           |
DROP  |G          |3          |1          |RSpell     |0          |0          |500-700    |           |
WAIT  |5000-7000  |           |           |           |           |           |           |           |
DROP  |A          |3-10       |8          |Mini       |30-50      |50-80      |40         |           |
DROP  |B          |1-7        |7          |Mini       |30-50      |50-80      |500-700    |           |
DROP  |A          |10         |5          |Wall       |120-130    |0          |3000-3500  |           |
DROP  |A          |10         |1          |King       |0          |0          |500-700    |           |
DROP  |A          |9          |1          |Queen      |0          |0          |500-700    |           |

      |-----------------------------------------------------------------------------------------------|
      |Simple LavaLoon created by Z E C K                                            05.09.2017  02:04|
      |Lavaloon improved for more HUMAN like by Z E C K                              17.09.2017  23:04|
