NOTE  |Author: Mybotrunrun (26-02-2018)
NOTE  |Attack: No More LavaLoons -ver. 1.2
NOTE  |-External Edge-
NOTE  |=======ONLY FOR TH10==== 240 TROOPS
NOTE  |Make Troops: 28 loon , 2 lava, 20 minions, loon in CC
NOTE  |Make Spells: 7 haste ,2 rage ,1 haste in CC

      |-----------------------------------------------------------------------------------------------|,,,
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|,,,
SIDE  |0          |0          |0          |0          |0          |0          |9          |           |,,,
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |,,,
SIDEB |20         |5          |0          |0          |0          |0          |           |           |,,,

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|,,,
MAKE  |A          |FRONT-LEFT |8          |1          |INT-EXT    |0          |1          |           |,,,
MAKE  |B          |FRONT-RIGHT|8          |1          |INT-EXT    |0          |1          |           |,,,
MAKE  |C          |FRONT-LEFT |8          |1          |EXT-INT    |0          |1          |           |,,,
MAKE  |D          |FRONT-RIGHT|8          |1          |EXT-INT    |0          |1          |           |,,,
MAKE  |E          |FRONT-LEFT |10         |-15        |INT-EXT    |0          |5          |           |,,,
MAKE  |F          |FRONT-RIGHT|10         |-15        |INT-EXT    |0          |5          |           |,,,
MAKE  |H          |FRONT-RIGHT|10         |-23        |INT-EXT    |0          |5          |           |,,,
MAKE  |K          |FRONT-LEFT |10         |-27        |INT-EXT    |0          |0          |           |,,,
MAKE  |L          |FRONT-RIGHT|10         |-27        |INT-EXT    |0          |0          |           |,,,
MAKE  |M          |FRONT-RIGHT|1          |0          |IGNORE     |0          |0          |INFERNO    |,,,
MAKE  |N          |FRONT-LEFT |1          |0          |IGNORE     |0          |0          |EAGLE      |,,,
MAKE  |V          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |5          |           |,,,
MAKE  |O          |FRONT-LEFT |10         |-23        |INT-EXT    |0          |5          |           |,,,
MAKE  |Z          |FRONT-RIGHT|10         |-7         |INT-EXT    |0          |5          |           |,,,
MAKE  |R          |BACK-LEFT  |10         |1          |INT-EXT    |0          |1          |           |,,,
MAKE  |S          |BACK-RIGHT |10         |1          |INT-EXT    |0          |1          |           |,,,

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|SLEEPBEFORE|,,,
DROP  |A-B        |7          |1          |Lava       |30-50      |30-70      |100-200    |           |,,,
DROP  |A          |1          |1          |Lava       |0          |0          |100-200    |           |,,,
DROP  |A          |1          |1          |CSpell     |50-100     |0          |100-200    |           |,,,
DROP  |A          |1          |1          |Castle     |20-30      |10-20      |100-200    |           |,,,
DROP  |D          |4-8        |7          |Ball       |20-30      |10-20      |0          |           |,,,
DROP  |A          |1-5        |7          |Ball       |20-30      |10-20      |100-200    |           |,,,
DROP  |C          |4-8        |7          |Ball       |20-30      |10-20      |0          |           |,,,
DROP  |B          |1-5        |7          |Ball       |20-30      |10-20      |100-200    |           |,,,
DROP  |A          |1          |1          |warden     |30-50      |0          |50-100     |           |,,,
DROP  |V          |5          |1          |HaSpell    |50-100     |0          |50-100     |           |,,,
DROP  |V          |2          |1          |HaSpell    |50-100     |0          |50-100     |           |,,,
DROP  |Z          |2          |1          |HaSpell    |50-100     |0          |50-100     |           |,,,
DROP  |Z          |5          |1          |HaSpell    |50-100     |0          |1000-1500  |           |,,,
DROP  |E          |3          |1          |RSpell     |50-100     |0          |50-100     |           |,,,
DROP  |F          |2          |1          |RSpell     |50-100     |0          |50-100     |           |,,,
DROP  |E          |7          |1          |HaSpell    |50-100     |0          |50-100     |           |,,,
DROP  |F          |6          |1          |HaSpell    |50-100     |0          |50-100     |           |,,,
WAIT  |500-1000   |           |           |           |           |           |           |           |,,,
DROP  |D          |2-8        |10         |mini       |20-30      |10-20      |0          |           |,,,
DROP  |A          |1-7        |10         |mini       |20-30      |10-20      |500-1000   |           |,,,
DROP  |A          |1          |1          |warden     |30-50      |100        |50-100     |           | ,,,
WAIT  |500-1000   |           |           |           |           |           |           |           |,,,
RECALC|           |           |           |           |           |           |           |           | ,,,
DROP  |O          |3          |1          |HaSpell    |0          |0          |50-100     |           |,,,
DROP  |H          |2          |1          |HaSpell    |0          |0          |500-700    |           |,,,
WAIT  |6500-7500  |           |           |           |           |           |           |           |,,,
DROP  |R          |9          |1          |king       |30-50      |0          |50-100     |           |,,,
DROP  |S          |9          |1          |queen      |30-50      |100        |100-200    |           | ,,,
WAIT  |6500-7500  |           |           |           |           |           |           |           |,,,
RECALC|           |           |           |           |           |           |           |           | ,,,
DROP  |A-B        |1-8        |1          |REMAIN     |30-50      |100        |50-100     |           | ,,,
