NOTE  |Author: TroubleFish
NOTE  |Attack: WiBo ver.1.3 
NOTE  |Date Created: 18 Apr 2017 
NOTE  |Last Modified: 02 May 2017
NOTE  |Troops: 10 witches, 20 browlers, 3 Wall breaker(optional)
NOTE  |Spells: 3 rage, 2 jump
NOTE  |CC: giants, heal
NOTE  |Cost: 8K dark, 100K elixir

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE_|
SIDE  |           |           |           |           |           |           |10         |            |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|____________|
MAKE  |A          |FRONT-RIGHT|30         |10         |EXT-INT    |0          |0          |            |Vector for witch/bowler
MAKE  |B          |FRONT-LEFT |30         |10         |EXT-INT    |0          |0          |            |Vector for witch/bowler
MAKE  |C          |FRONT-RIGHT|10         |10         |INT-EXT    |0          |0          |            |Vector for clan castle
MAKE  |D          |FRONT-LEFT |10         |10         |INT-EXT    |0          |0          |            |Vector for heroes
MAKE  |E          |FRONT-LEFT |10         |-5         |INT-EXT    |0          |0          |            |Vector for jump
MAKE  |F          |FRONT-LEFT |10         |-6         |INT-EXT    |0          |0          |            |Vector for rage
MAKE  |G          |FRONT-LEFT |10         |-10        |INT-EXT    |0          |0          |            |Vector for heal
MAKE  |H          |FRONT-RIGHT|10         |-13        |INT-EXT    |0          |0          |            |Vector for rage
MAKE  |I          |FRONT-LEFT |10         |-14        |INT-EXT    |0          |0          |            |Vector for rage
MAKE  |J          |FRONT-LEFT |10         |-13        |INT-EXT    |0          |0          |            |Vector for jump


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROP  |A          |1-3        |3          |Witc       |0          |200        |700        |            |Drop 3 witches
DROP  |A          |1-3        |3          |Bowl       |0          |200        |200        |            |Drop 3 bowlers
DROP  |B          |1-3        |3          |Witc       |0          |200        |700        |            |Drop 3 witches
DROP  |B          |1-3        |3          |Bowl       |0          |200        |2000       |            |Drop 3 bowlers
DROP  |E          |1          |1          |JSpell     |0          |0          |0          |            |Drop Jump
DROP  |C          |1          |1          |Castle     |0          |0          |0          |            |
DROP  |D          |1          |1          |King       |0          |0          |0          |            |
DROP  |D          |1          |1          |Queen      |0          |0          |0          |            |
DROP  |D          |1-2        |10         |Witc       |20         |20         |0          |            |Drop 4 wtiches
DROP  |D          |1          |5          |Wall       |0          |0          |0          |            |Drop 3 wall breakers
DROP  |D          |1          |1          |Warden     |0          |0          |0          |            |
DROP  |D          |1          |20         |Bowl       |0          |0          |0          |            |Drop 14 bowlers
DROP  |F          |1          |1          |RSpell     |0          |0          |0          |            |Drop Rage
DROP  |J          |1          |1          |JSpell     |0          |0          |4500       |            |Drop Jump
DROP  |G          |1          |1          |HSpell     |0          |0          |3500       |            |Drop Heal
DROP  |H          |1          |1          |RSpell     |0          |0          |7000-8500  |            |Drop Rage
DROP  |I          |1          |1          |RSpell     |0          |0          |50         |            |Drop Rage
WAIT  |1000-1500  |           |           |           |           |           |           |            |
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROP  |D          |1          |1          |Warden     |0          |0          |100-300    |            |
DROP  |I          |1          |1          |RSpell     |0          |0          |50         |            |Drop Rage
RECALC|           |           |           |           |           |           |           |            |
DROP  |D          |1          |1          |Remain     |0          |0          |100-300    |            |Drop remaining

