NOTE  |Author: Ahsan Iqbal
NOTE  |Attack: lavaloonion -ver. 2.6.1c- (2 side) -External Edges-
NOTE  |Make Troops: 28 loon, 2 lava, 10-20 minions, 4 wb
NOTE  |Make Spells: 11 Haste, 1 haste (CC),1 rage (CC)

      |-----------------------------------------------------------------------------------------------|
      |                                                                                               |
      |                                                                                               |

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |           |10         |           |

      |EAGLE      |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |
SIDEB |5          |0          |0          |0          |0          |           |           |           |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-LEFT |10         |1          |INT-EXT    |0          |1          |           |
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |1          |           |
MAKE  |C          |RIGHT-FRONT|10         |1          |INT-EXT    |0          |1          |           |
MAKE  |D          |RIGHT-BACK |10         |1          |INT-EXT    |0          |1          |           |
MAKE  |E          |FRONT-RIGHT|8          |1          |EXT-INT    |0          |1          |           |
MAKE  |F          |RIGHT-FRONT|8          |1          |EXT-INT    |0          |1          |           |
MAKE  |G          |FRONT-LEFT |8          |1          |INT-EXT    |0          |1          |           |
MAKE  |H          |RIGHT-BACK |8          |1          |INT-EXT    |0          |1          |           |
MAKE  |I          |FRONT-LEFT |10         |-8         |INT-EXT    |0          |0          |           |
MAKE  |J          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |0          |           |
MAKE  |K          |RIGHT-FRONT|10         |-8         |INT-EXT    |0          |0          |           |
MAKE  |L          |RIGHT-BACK |10         |-8         |INT-EXT    |0          |0          |           |
MAKE  |M          |FRONT-LEFT |10         |-15        |INT-EXT    |0          |0          |           |
MAKE  |N          |FRONT-RIGHT|10         |-15        |INT-EXT    |0          |0          |           |
MAKE  |O          |RIGHT-FRONT|10         |-15        |INT-EXT    |0          |0          |           |
MAKE  |P          |RIGHT-BACK |10         |-15        |INT-EXT    |0          |0          |           |
MAKE  |Q          |FRONT-LEFT |10         |-22        |INT-EXT    |0          |0          |           |
MAKE  |R          |RIGHT-BACK |10         |-22        |INT-EXT    |0          |0          |           |


